place_id,place_name,type,address,district,city,avg_rating,total_reviews_google,source,total_reviews_used,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,top_positive_keywords,top_neutral_keywords,top_negative_keywords
8bec4369c022b30ac14f8e11557a6261,Chè Thái Ý Phương,food,"382 Nguyễn Tri Phương, Phường 4",Vườn Lài,Hồ Chí Minh,3.8,4064,google_maps,60,19,11,30,0.3167,0.1833,0.5,"['nhân viên', 'ăn vặt', 'nổi tiếng', 'đồ ăn', 'ngon quyền', 'tiền mặt', 'nói gì', 'chuyển khoản']","['nhân viên', 'ăn vặt', 'còn ngon', 'giá', 'giữ xe', 'giá cao', 'như robot', 'ko nhiệt']","['nhân viên', 'gửi xe', 'giá', 'đồ ăn', 'thất vọng', 'lượng tệ', 'thanh toán', 'đau bụng']"
a47c30395a2db430f2bb5727dc7b1fa3,Miếu Bà Thiên Hậu - Hội Quán Tuệ Thành,attaction,"710 Nguyễn Trãi, Phường 11",Chợ Lớn,Hồ Chí Minh,4.6,3412,google_maps,60,58,1,1,0.9667,0.0167,0.0167,"['chợ lớn', 'ngôi chùa', 'hoa', 'nước ngoài', 'hoa gốc', 'nguyễn trãi', '710 đường', 'văn hóa']","['cô hét', 'q5 điểm', 'vệ sinh', 'khách', 'nhân viên']","['còn chụp', 'tại chùa', 'trẻ', 'máy cơ', 'vk']"
aaf4de09844e0576f0c5f1f8f9eb0e4d,"Gà Vàng, Lẩu Gà Lá É - Thủ Dầu Một",food,"53 Đường D1, Phú Hoà",Phú Lợi,Hồ Chí Minh,4.9,219,google_maps,60,58,1,1,0.9667,0.0167,0.0167,"['ăn ngon', 'đồ ăn', 'ăn', 'nhân viên', 'ngon', 'vụ nhiệt', 'phục vụ', 'ngon rẻ']","['nước nồi', 'sạch gọn', 'đồ ăn', 'phần giảm', 'tăng giá']","['nhạt ít', 'ít đồ', 'nước lẩu', 'ăn nước', 'đồ ăn']"
ab2b007e6a2b61485b79314c7e90a8b4,Nhâm cafe,food,"91/1 Hoà Hưng, Phường 12",Hòa Hưng,Hồ Chí Minh,4.3,2885,google_maps,60,48,8,4,0.8,0.1333,0.0667,"['nhân viên', 'cà phê', 'decor đẹp', 'giáng sinh', 'nước', 'cuối tuần', 'chụp ảnh', 'thân thiện']","['bàn', 'nhân viên', 'đồ uống', 'trí decor', 'món nước', 'chụp hình', 'ngoài trẻ', 'rộng rãi']","['cashier trà', 'hỏi syrup', 'gì trả', 'nửa tiếng', 'vải order', 'vệ sinh', 'trừ lớn', 'cổ điển']"
ad8aea2b7055cfb45a241e27f8c01eb5,Khu du lịch Đại Nam,attraction,"1765A Đại lộ Bình Dương, phường Phú An",Phú An,Hồ Chí Minh,4.5,3791,google_maps,60,53,4,3,0.8833,0.0667,0.05,"['vườn thú', 'miễn phí', 'du lịch', 'dịch vụ', 'phí vé', 'lịch rộng', 'trải nghiệm', 'trò chơi']","['đi ăn', 'ngàn tới', 'nhân viên', 'cảnh báo', 'đình nhân', 'trải nghiệm', 'quảng bá', 'truyền thông']","['ghép team', 'chơi trượt', 'nhân viên', 'viên ngồi', 'màu', 'chơi giá', '120k200k', 'ngày 31725']"
bc47419b8e84902218a4f82b7be2d66d,Milk & Honey Coffee Co.,food,"18 Đường D5, Khu dân cư K8 Thanh Lễ",Phú Lợi,Hồ Chí Minh,5.0,192,google_maps,60,60,0,0,1.0,0.0,0.0,"['nhân viên', 'nước ngon', 'thân thiện', 'bánh ngon', 'làm việc', 'viên dễ', 'trải nghiệm', 'nước']",[],[]
c98f0813f7c2bb163f231316772d6d82,Buffet nướng Ông Mập 139k - CN Tô Vĩnh Diện,food,"7 Tô Vĩnh Diện, Linh Chiểu",Thủ Đức,Hồ Chí Minh,4.9,16039,google_maps,60,55,2,3,0.9167,0.0333,0.05,"['nhân viên', 'ăn ngon', 'đồ ăn', 'viên nhiệt', 'phục vụ', 'vụ nhiệt', 'ngon nhân', 'thân thiện']","['ăn ngon', 'đưa ly', 'lau sạch', 'mua vé', 'màu trắng', 'buffet nước', 'cá', '25kngười nước']","['400k đổi', 'tối 19012026', 'đóng cửa', 'trải nghiệm', 'kỳ tệ', '23h đóng', '513k người', 'đông quầy']"
ccca7578a09b3b5807afe0ace283d379,Smell Coffee in Bed,food,"Hoàng Hoa Thám, Hiệp Thành",Phú Lợi,Hồ Chí Minh,5.0,297,google_maps,60,60,0,0,1.0,0.0,0.0,"['nhân viên', 'nước ngon', 'viên nhiệt', 'viên dễ', 'nước uống', 'phục vụ', 'thân thiện', 'nước']",[],[]
e68edf797b4383e4c50fae5c858b2825,"MIA TOWN - Khu Vui Chơi, Bida, Gaming Đỉnh Cao Quận 10",entertainment,"583B Sư Vạn Hạnh, Phường 12",Hòa Hưng,Hồ Chí Minh,4.5,487,google_maps,60,44,2,14,0.7333,0.0333,0.2333,"['nhân viên', 'trải nghiệm', 'rộng rãi', 'vui chơi', 'chơi ps5', 'cuối tuần', 'thân thiện', 'đồ ăn']","['ps5 phòng', 'sạn bamboo', 'ít game', 'chửi khách', 'riêng giá', 'nhân viên', 'râtd vui', 'ổn bếp']","['nhân viên', 'tiệm game', 'giao thông', 'ăn trộm', 'sạn khách', 'hên trên', 'cái hdd', 'mấy game']"
e810bd055b7c93a66fdaddc350cac6d2,Haidilao Vạn Hạnh Mall,food,"Tầng 4 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, Phường 12",Hòa Hưng,Hồ Chí Minh,5.0,27371,google_maps,60,59,0,1,0.9833,0.0,0.0167,"['nhân viên', 'đồ ăn', 'trải nghiệm', 'dịch vụ', 'viên nhiệt', 'ăn ngon', 'tại haidilao', 'tặng quà']",[],"['23 tiếng', 'đợi lâu', 'đến 8h', 'khách hàng', 'lần cuối']"
ed979ee2bd467136cda9fb678d6cce15,Buffet Poseidon Vincom Plaza Lê Văn Việt,food,"TTTM Vincom Plaza, 50 Đ. Lê Văn Việt, Hiệp Phú",Tăng Nhơn Phú,Hồ Chí Minh,4.1,725,google_maps,60,46,3,11,0.7667,0.05,0.1833,"['hải sản', 'nhân viên', 'đồ ăn', 'chất lượng', 'chi nhánh', 'ăn tươi', 'món ăn', 'nhà hàng']","['nhà hàng', 'ngày thường', 'hàng đông', 'thực chậm', 'line như', 'ít', 'hơn tươi', 'như cửu']","['đặt bàn', 'nhân viên', 'dụng vocher', 'dụng dc', 'khách dùng', 'hệ thống', 'tiền ra', 'lại đội']"
fb8dc0d255f706b0c41413fe7df10158,CGV Bình Dương Square,entertainment,"1 Đ. Phú Lợi, Phú Hoà",Phú Lợi,Hồ Chí Minh,4.3,3625,google_maps,60,20,9,31,0.3333,0.15,0.5167,"['nhân viên', 'xem phim', 'mua sắm', 'rạp phim', 'mưa đỏ', 'âm thanh', 'cgv', 'đông vui']","['mua nước', 'viên bán', 'nhân viên', 'quảng cáo', 'rạp chiếu', 'hết 100k', 'nước hết', 'đồ ăn']","['nhân viên', 'khách hàng', 'thái độ', 'trải nghiệm', 'máy lạnh', 'ghế', 'vệ sinh', 'bắp nước']"
feb2b9ebab5295656ee3853c390f6790,The Wish Coffee ,food,"543 Sư Vạn Hạnh, Phường 12",Hòa Hưng,Hồ Chí Minh,4.9,1346,google_maps,60,50,4,6,0.8333,0.0667,0.1,"['nhân viên', 'viên dễ', 'nước uống', 'ngồi', 'rộng rãi', 'viên nhiệt', 'nước ngon', 'dễ thương']","['cà phê', 'thức uống', 'phê sữa', 'dùng matcha', 'machiato ly', 'sữa 40k', 'giảm 10', 'khi rate']","['nhân viên', '7h tối', 'thất vọng', 'dịch vụ', 'vài ngày', 'thuế vat', 'nước ok', 'menu từng']"
