"place_id","text","rating"
"0098a8ed97daad56f4afab536d7620b8","anh chủ quán đẹp zai nhân viên quá oke luôn net xịn vãi cả nho",5
"0621e39bf9eaf732b3e52d83034a3821","qua that vong dat tren app ly sz l nhung den lay chi la sz m nhan vien nói do tết nên k tang size lz  xàm làm k có tâm đung làm",1
"0621e39bf9eaf732b3e52d83034a3821","là khách quen ngày nào cx vô quán
kem làm bị bọt không đặc như mọi hôm
nước đang còn có để đồ nhân viên dẹp ly nước
để nhận khách mới vô",1
"0621e39bf9eaf732b3e52d83034a3821","khách còn để đồ ở đó mà đi toilet ra thấy dọn sạch bàn ý là đuổi khách hay gì nhân viên phục vụ thái độ kém nước thì giá cao mà dở nhạt lắm",1
"0621e39bf9eaf732b3e52d83034a3821","không đa dạng về món ăn  có đồ ăn sáng mình ăn cơm tấm ổn
đi vào các buổi còn lại thì có món mì gói bò viên
cac loại nươc ok giá từ 2955k
nơi ngồi làm việc hoặc họp mặt tốt",5
"0621e39bf9eaf732b3e52d83034a3821","ns chung là các bạn nhân viên nam đừng tụ tập chơi game vào buổi khuya nữa mình thấy khá ồn ào mà còn không lo đi dọn dẹp nước uống cho khách mong các bạn chú ý nhé",1
"0621e39bf9eaf732b3e52d83034a3821","đã thêm vào list ghé ăn trưa

không ấn tượng với món nước bằng món cơm niêu ",5
"0621e39bf9eaf732b3e52d83034a3821","quán cà phê ruột của mình ở thủ dầu một
the cup café nằm trong khu biconsi vị trí dễ tìm và không gian khá thoáng quán trang trí theo kiểu hiện đại nhẹ nhàng với tone màu trung tính nên nhìn vào ",5
"0621e39bf9eaf732b3e52d83034a3821","mua 2 phần cơm cũng 55k 1 phần mà nhận lại cách đóng gói như vậy hộp cơm k có nổi 1 cái nắp nhân viên cũng không nói gì",2
"0621e39bf9eaf732b3e52d83034a3821","nước thì cái ngọt cái lạc như nước lã ghé thấy ghế dài nghỉ trưa xíu thấy nhân viên đi qua đi lại không nhắc mà lúc mình đang say giấc lại kiu ko dc nằm nhân viên thì tụ tập chỉ chỉ trỏ trỏ khách đi rất nhìu lần mà h ms thấy bất xúc  ",1
"0621e39bf9eaf732b3e52d83034a3821","không gian quán rất rộng và mát mẻ phong cách hiện đại đồ uống ngon giá hợp lý nhân viên chuyên nghiệp có chỗ đậu xe miễn phí trên đường nằm trong khu vực sầm uất và giao thông thuận lợi",5
"0621e39bf9eaf732b3e52d83034a3821","không gian thưởng thức trà và cà phê tuyệt vời
sang trọng thoáng mát sạch sẽ lịch thiệp và chuyên nghiệp là điểm cộng  cho cửa hàng up  the cup cafe ",4
"0621e39bf9eaf732b3e52d83034a3821","không gian rộng sang trọng có nhiều ổ cắm phù hợp để làm việc học tập

nhân viêc phục vụ thái độ chuyên nghiệp nhà vệ sinh sạch sẽ thơm tho nước uống ổn",4
"0621e39bf9eaf732b3e52d83034a3821","nằm trong kdc phú hoà buổi tối đông khách quán mở muộn có bóng đá là tới 23h sáng mới đóng cửa nước trung bình vừa phải  chỗ ngồi ngoài trời để bán sát nhau quá mất tự nhiên hic chỗ ngồi bên trong oke yên tĩnh",5
"0621e39bf9eaf732b3e52d83034a3821","không gian thoải mái  nước ngonn  đồ ăn cũng ngon  nhân viên dễ huông nửa ",4
"0621e39bf9eaf732b3e52d83034a3821","không gian thoáng đãng rộng rãi thoải mái hợp lý ngồi làm việc và chạy deadline",5
"0621e39bf9eaf732b3e52d83034a3821","quán này có mở đêm quán rất đông khách",5
"0621e39bf9eaf732b3e52d83034a3821","quán nằm vị trí đắt địa ngay trung tâm thương mại phú hoà nên khoá đông đúc thức ăn tạm ổn thức uống phong phú tuy nhiên phục vụ còn hơi chậm khá ồn ào do máy lạnh kêu to hoà với tiếng ồn do kê bàn quá dày không thích hợp cho người lớn tuổi",4
"0621e39bf9eaf732b3e52d83034a3821","quán nằm ngay vòng xoay kdc phú hoà  tỉnh bình dương

có chỗ đậu xe máy và ô tô  có bv giữ xe an toàn ",5
"0621e39bf9eaf732b3e52d83034a3821","đồ ăn ngon  vì khác vùng miền nên nước mắm hơi ngọt so với mình ",4
"0621e39bf9eaf732b3e52d83034a3821","quán nằm ngay vòng xoay kdc phú hoà

có chỗ đậu xe máy và ô tô ",5
"0621e39bf9eaf732b3e52d83034a3821","08082025 nhân viên chú ý lại nhé ly nước  cũng may là không phải con ruồi thường xuyên uống ở đây đây là lần đầu tiên bị như thế này",4
"0621e39bf9eaf732b3e52d83034a3821","the cup cafe là 1 thương hiệu nổi tiếng thì về chất lượng không gian cùng với đồ ăn thức uống thì khổi phải bàn còn về việc phục vụ thì mỗi chổ mỗi kiểu ae cảm nhận mỗi người mỗi khác nên ko nào đánh đồng đc  làm đồ mang đi hơi lâu ",4
"0621e39bf9eaf732b3e52d83034a3821","view rộng nhân viên nhiệt tình
từ t2 đến t6 có cơm niêu mình ghé t7 ăn tạm phở không ngon lắm
cappuccino không ngon",3
"0621e39bf9eaf732b3e52d83034a3821","mình khách ruột ở đây từ cà phê đen đá không đường kombucha rồi đồ ăn trưa ở đây
ngồi cf làm việc ở đây khá là okla nhé",5
"0621e39bf9eaf732b3e52d83034a3821","dạ matcha đá xay hôm nay không như những đợt trước em hay uống kem thì không như thường ngày nó cứ bọt không đặc matcha nhạt và kể cả hình thức khác thường quán cần xem xét lại rất không hài lòngtrân trọng",1
"0621e39bf9eaf732b3e52d83034a3821","đợi đồ ăn quá lâu bảo 15 phút nhưng 30 phút sau nhắc nhở mới có
nhân viên thái độ
tệ",1
"0621e39bf9eaf732b3e52d83034a3821","the cup cafe nằm trên đường d1 chung cư biconsi phường phú hòa thủ dầu một bình dương gần vòng xoay xe ra vào khá dễ kể cả xe hơi quán cafe mở 2424 nên rất phù hợp cho các bạn trẻ cày đêm với chi phí thấp quán được thiết kế mặt ngoài ",5
"0621e39bf9eaf732b3e52d83034a3821","đợi nước hơn 25 phút làm cho tất cả mọi người xong chờ hoài cũng k thấy tới lượt nhân viên không một câu nói mình xong mới pha rồi thôi tính ra làm dịch vụ mà mấy cái cơ bản cũng k biết ",1
"0621e39bf9eaf732b3e52d83034a3821","the cup cafe ở biconsi phú hòa thực sự làm mình ấn tượng với không gian ấm cúng và bài trí rất chill đồ uống ở đây ngon và phục vụ cực kỳ nhiệt tình có điều âm nhạc hơi to làm mất chút thư giãn nhưng tổng thể thấy ổn sẽ quay lại",5
